canonicalId,name,description,module,category,origin,path
chico-dev-story,Dev Story,Execute story implementation from spec file,cmm,workflow,conserved,.claude/skills/chico-dev-story
chico-quick-dev,Quick Dev,Implement any intent following project patterns,cmm,workflow,conserved,.claude/skills/chico-quick-dev
chico-code-review,Code Review,Adversarial + compliance review (Blind Hunter + Edge Case + Acceptance + anti-incompletion),cmm,workflow,enriched,.claude/skills/chico-code-review
chico-sprint-planning,Sprint Planning,Generate sprint status tracking from epics,cmm,workflow,conserved,.claude/skills/chico-sprint-planning
chico-sprint-status,Sprint Status,Summarize sprint status and surface risks,cmm,workflow,conserved,.claude/skills/chico-sprint-status
chico-correct-course,Correct Course,Manage significant changes during sprint execution,cmm,workflow,conserved,.claude/skills/chico-correct-course
chico-retrospective,Retrospective,Post-epic review to extract lessons,cmm,workflow,conserved,.claude/skills/chico-retrospective
chico-check-implementation-readiness,Check Implementation Readiness,Validate PRD + UX + Architecture + Epics alignment,cmm,workflow,conserved,.claude/skills/chico-check-implementation-readiness
chico-checkpoint-preview,Checkpoint Preview,LLM-assisted human-in-the-loop review,cmm,workflow,conserved,.claude/skills/chico-checkpoint-preview
chico-qa-generate-e2e,QA Generate E2E Tests,Generate end-to-end automated tests for existing features,cmm,workflow,conserved,.claude/skills/chico-qa-generate-e2e
chico-document-project,Document Project,Document brownfield projects for AI context,cmm,workflow,conserved,.claude/skills/chico-document-project
chico-generate-project-context,Generate Project Context,Create project-context.md with AI rules,cmm,workflow,conserved,.claude/skills/chico-generate-project-context
chico-product-brief,Product Brief,Create or update product briefs through guided discovery,cmm,workflow,conserved,.claude/skills/chico-product-brief
chico-prfaq,PRFAQ,Working Backwards PRFAQ challenge,cmm,workflow,conserved,.claude/skills/chico-prfaq
chico-domain-research,Domain Research,Conduct domain and industry research,cmm,workflow,conserved,.claude/skills/chico-domain-research
chico-market-research,Market Research,Conduct market research on competition and customers,cmm,workflow,conserved,.claude/skills/chico-market-research
chico-technical-research,Technical Research,Conduct technical research on technologies and architecture,cmm,workflow,conserved,.claude/skills/chico-technical-research
chico-teach-me-testing,Teach Me Testing,Teach testing progressively through structured sessions,tea,workflow,conserved,.claude/skills/chico-teach-me-testing
chico-testarch-atdd,ATDD,Generate red-phase acceptance test scaffolds,tea,workflow,conserved,.claude/skills/chico-testarch-atdd
chico-testarch-automate,Test Automate,Expand test automation coverage,tea,workflow,conserved,.claude/skills/chico-testarch-automate
chico-testarch-ci,Test CI,Scaffold CI/CD quality pipeline,tea,workflow,conserved,.claude/skills/chico-testarch-ci
chico-testarch-framework,Test Framework,Initialize test framework (Playwright/Cypress),tea,workflow,conserved,.claude/skills/chico-testarch-framework
chico-testarch-nfr,NFR Assessment,Assess non-functional requirements,tea,workflow,conserved,.claude/skills/chico-testarch-nfr
chico-testarch-test-design,Test Design,Create system-level or epic-level test plans,tea,workflow,conserved,.claude/skills/chico-testarch-test-design
chico-testarch-test-review,Test Review,Review test quality using best practices validation,tea,workflow,conserved,.claude/skills/chico-testarch-test-review
chico-testarch-trace,Traceability,Generate traceability matrix and quality gate decision,tea,workflow,conserved,.claude/skills/chico-testarch-trace
chico-cis-brainstorming,CIS Brainstorming,Facilitate game brainstorming with creative techniques,cis,workflow,conserved,.claude/skills/chico-cis-brainstorming
chico-cis-design-thinking,CIS Design Thinking,Guide human-centered design processes,cis,workflow,conserved,.claude/skills/chico-cis-design-thinking
chico-cis-innovation-strategy,CIS Innovation Strategy,Identify disruption opportunities and architect innovation,cis,workflow,conserved,.claude/skills/chico-cis-innovation-strategy
chico-cis-problem-solving,CIS Problem Solving,Apply systematic problem-solving methodologies,cis,workflow,conserved,.claude/skills/chico-cis-problem-solving
chico-cis-storytelling,CIS Storytelling,Craft compelling narratives using story frameworks,cis,workflow,conserved,.claude/skills/chico-cis-storytelling
chico-gds-brainstorm-game,GDS Brainstorm Game,Facilitate game brainstorming sessions,gds,workflow,conserved,.claude/skills/chico-gds-brainstorm-game
chico-gds-create-game-brief,GDS Create Game Brief,Interactive game brief creation,gds,workflow,conserved,.claude/skills/chico-gds-create-game-brief
chico-gds-create-gdd,GDS Create GDD,Create Game Design Documents,gds,workflow,conserved,.claude/skills/chico-gds-create-gdd
chico-gds-create-narrative,GDS Create Narrative,Create narrative documentation,gds,workflow,conserved,.claude/skills/chico-gds-create-narrative
chico-gds-create-prd,GDS Create PRD,Create PRD from GDD,gds,workflow,conserved,.claude/skills/chico-gds-create-prd
chico-gds-create-ux-design,GDS Create UX Design,Plan game UX/HUD design,gds,workflow,conserved,.claude/skills/chico-gds-create-ux-design
chico-gds-edit-gdd,GDS Edit GDD,Edit existing GDD,gds,workflow,conserved,.claude/skills/chico-gds-edit-gdd
chico-gds-edit-prd,GDS Edit PRD,Edit existing game PRD,gds,workflow,conserved,.claude/skills/chico-gds-edit-prd
chico-gds-validate-gdd,GDS Validate GDD,Validate GDD against standards,gds,workflow,conserved,.claude/skills/chico-gds-validate-gdd
chico-gds-validate-prd,GDS Validate PRD,Validate game PRD against standards,gds,workflow,conserved,.claude/skills/chico-gds-validate-prd
chico-gds-game-architecture,GDS Game Architecture,Design scale-adaptive game architecture,gds,workflow,conserved,.claude/skills/chico-gds-game-architecture
chico-gds-generate-project-context,GDS Generate Project Context,Create project-context.md for game projects,gds,workflow,conserved,.claude/skills/chico-gds-generate-project-context
chico-gds-check-implementation-readiness,GDS Check Readiness,Verify GDD + UX + Architecture alignment,gds,workflow,conserved,.claude/skills/chico-gds-check-implementation-readiness
chico-gds-create-epics-and-stories,GDS Create Epics,Create game epics and stories,gds,workflow,conserved,.claude/skills/chico-gds-create-epics-and-stories
chico-gds-create-story,GDS Create Story,Create game story file for implementation,gds,workflow,conserved,.claude/skills/chico-gds-create-story
chico-gds-dev-story,GDS Dev Story,Execute game story implementation,gds,workflow,conserved,.claude/skills/chico-gds-dev-story
chico-gds-quick-dev,GDS Quick Dev,Quick game development implementation,gds,workflow,conserved,.claude/skills/chico-gds-quick-dev
chico-gds-code-review,GDS Code Review,Game code review with parallel layers,gds,workflow,conserved,.claude/skills/chico-gds-code-review
chico-gds-correct-course,GDS Correct Course,Manage game sprint changes,gds,workflow,conserved,.claude/skills/chico-gds-correct-course
chico-gds-retrospective,GDS Retrospective,Post-epic game review,gds,workflow,conserved,.claude/skills/chico-gds-retrospective
chico-gds-sprint-planning,GDS Sprint Planning,Game sprint planning,gds,workflow,conserved,.claude/skills/chico-gds-sprint-planning
chico-gds-sprint-status,GDS Sprint Status,Game sprint status,gds,workflow,conserved,.claude/skills/chico-gds-sprint-status
chico-gds-document-project,GDS Document Project,Document existing game projects,gds,workflow,conserved,.claude/skills/chico-gds-document-project
chico-gds-domain-research,GDS Domain Research,Game domain and industry research,gds,workflow,conserved,.claude/skills/chico-gds-domain-research
chico-gds-test-framework,GDS Test Framework,Initialize game test framework,gds,workflow,conserved,.claude/skills/chico-gds-test-framework
chico-gds-test-design,GDS Test Design,Create game test scenarios,gds,workflow,conserved,.claude/skills/chico-gds-test-design
chico-gds-test-automate,GDS Test Automate,Generate automated game tests,gds,workflow,conserved,.claude/skills/chico-gds-test-automate
chico-gds-test-review,GDS Test Review,Review game test quality,gds,workflow,conserved,.claude/skills/chico-gds-test-review
chico-gds-e2e-scaffold,GDS E2E Scaffold,Scaffold game E2E testing,gds,workflow,conserved,.claude/skills/chico-gds-e2e-scaffold
chico-gds-performance-test,GDS Performance Test,Game performance testing strategy,gds,workflow,conserved,.claude/skills/chico-gds-performance-test
chico-gds-playtest-plan,GDS Playtest Plan,Create structured playtesting plans,gds,workflow,conserved,.claude/skills/chico-gds-playtest-plan
chico-bmb-setup,BMB Setup,Configure Chico Builder module in project,cmb,utility,conserved,.claude/skills/chico-bmb-setup
